participant_id,q1_raw_regulation,q1_code,q2_raw_ethical_use,q2_code,q3_raw_creativity,q3_code,q4_raw_advantages,q4_code
P1_185,Yes . Because it breaches the privacy of the people whose faces are being used without their permission . It should be regulated by the government for these purposes . ,Strict Regulatory Advocate,For social awareness . For reaching out to mass people through one voice which everyone will listen . ,Broadly Permissive,Yes it should be introduced for educational purposes so that children's learning becomes more enhanced . ,Innovation Optimist,Breaching of privacy of people . ,Invalid/Unclear
P1_186,Deepfake should be regulated because it invades the privacy of people and uses the people's face or voice to create fake instances of them and could lead to mental distress or even in some cases influence the opinion of the public.,Strict Regulatory Advocate,"i think deepfake technology can be used in movies,songs etc only with the permission of the people.",Highly Restrictive,"yes deepfake can be used for ethical purposes but it can be called ethical only if permission to use it is received by the people or family members.
",Ethical Realist,"for eg in movies: we can use it in place of actors if they are not available.
for eg in songs or education: we can use the voice of the people to enhance the experience or story telling.",Commercial/Entertainment
P1_187,No it cannot because everyone has access to AI,Conditional/Skeptic,Only by defence agencies,Highly Restrictive,No,Ethical Realist,Can be used by secret service agencies to deceive the criminals to do stuff on their command,Educational/Societal
P1_188,i can say no because it might harmful for some reasons,Invalid/Unclear,in terms of education for classes and enterainment for dubbing,Broadly Permissive,abcdef,Invalid/Unclear,yah it might be used in education and entertainment,Educational/Societal
P1_189,"The technology can be used maliciously for spreading misinformation, election meddling, and creating non-consensual explicit content. Regulations could help establish accountability, but they must be carefully balanced to protect free speech and legitimate creative or satirical uses",Conditional/Skeptic,"Even with good intentions, challenges are significant.

Technically, creating a flawless, undetectable deepfake is difficult, and reliably watermarking or detecting them is an ongoing race.

Legally, laws lag far behind. Issues like defining consent for the deceased, handling cross-border jurisdiction, and proving satirical vs. malicious intent remain complex gray areas.",Highly Restrictive,"Yes, deepfakes can be a powerful creative tool for education and film. The ethical line is drawn at consent and intent. Ethical use requires permission from the person being depicted and aims to entertain or educate without deceiving the audience. Unethical use lacks consent and intends to harm, defame, or manipulate",Ethical Realist,"In entertainment, deepfakes have significant advantages. For example, they can seamlessly dub films into foreign languages by matching actors' lip movements perfectly. In accessibility, the technology can recreate a person's voice who has lost their ability to speak, based on old recordings, greatly improving their communication.",Commercial/Entertainment
P1_190,.,Invalid/Unclear,th,Invalid/Unclear,g,Invalid/Unclear, bg,Invalid/Unclear
P1_191,Yes. Because AI can simulate any person's voice or edit their videos to make NSFW content which would ruin their reputation. Proper consent must be taken before generating anything that is deepfake,Strict Regulatory Advocate,Deepfake can be used to create funny content with consent from the user being projected in the content. It can also be used to create maybe funny animations/creative animations of characters from movies or games who are not real. It saves time and supports entertainment without anyone being hurt.,Broadly Permissive,Yes this is a great way to bring historical figures to life for educational purposes since we as humans can perceive audio and video better than just reading textbooks. But it should be purely educational and should not hurt anyone's personal view of that historical figure by making fake content about things that they've never done,Ethical Realist,I think i've already given some above like make funny and creative content of your original characters that are not real and can be used for educational purposes or entertainment purposes,Commercial/Entertainment
P1_192,yes,Strict Regulatory Advocate,yes,Broadly Permissive,yes,Innovation Optimist,we can create wonders,Commercial/Entertainment
P1_193,Yes because if it ends up landing on the wrong hands then there might be trouble in case of criminals who can use this to fake their identity and more such.,Strict Regulatory Advocate,in case of education we can use it for children to show that their favourite cricket player of actor or idol is teaching them a class and make them feel more interactive to the subject.,Broadly Permissive,yes it can be used for animations and videos. The border is drawn when it goes into the illegal minds and goes into the personal space of one.,Ethical Realist,"advantages of deep fake, can be used for teaching learning things in a human interactive manner .",Educational/Societal
P1_194,"yes ,otherwise it might use for illegal purposes",Strict Regulatory Advocate,It can be used by converting textbook to audiobook,Broadly Permissive,"Deepfake can enhance education and storytelling by animating historical figures or characters. But using them to deceive, impersonate without consent, or spread misinformation is unethical. The line is clear: creativity with transparency and permission is fine—manipulation or harm is not.
",Ethical Realist,"Deepfakes can animate historical figures for education, recreate actors in films, and localize content across languages. They enhance storytelling and accessibility when used with consent and transparency. However, misuse for deception or impersonation crosses ethical lines. Responsible use balances innovation with respect for truth, privacy, and individual dignity.
",Educational/Societal
P1_195,it should be regulated but not as much the indian government censors movies. it should be allowed under fair use and sattire but not explicit things,Conditional/Skeptic,can be used in audio education so students can hear familiar voices of maybe actors or any person they like which might increase focus and attention,Broadly Permissive,yes it can be useful but there are many possible unethical ways it can be used .... for example any dictator can be made like a person again and spread propoganda,Ethical Realist,"De-age actors for flashback scenes or to portray a younger version of a character, as seen in movies 
recast deceased actors to complete a film or allow their legacy to live on like chadwick boseman
Create immersive and interactive experiences. Museums and exhibitions can use deepfakes to bring historical figures to life
Translating speech to sign language. Deepfakes can generate a realistic avatar that converts spoken words into accurate sign language, making videos and other content ",Commercial/Entertainment
P1_196,"yes, as its dangerous",Strict Regulatory Advocate,for the unavailability of important persons,Broadly Permissive,"yes, unethical if it is impersonating",Ethical Realist,dont use,Invalid/Unclear
P1_197,"No,it can mislead a large amount of population ",Strict Regulatory Advocate,Yaa maybe for educational purposes..to depict an event or something ,Broadly Permissive,Yaa possible ,Innovation Optimist,"In context of education..it has several advantages 
Eg:Bringing historical,political people in a frame to explain geopolitics and history in a better way",Educational/Societal
P1_198,yes. it should be. otherwise fraudsters and crime rate will increase drastically.,Strict Regulatory Advocate,deepfake technoly can be used ethically if it is used for the benefit of all and after giving the required disclaimers. ,Highly Restrictive,"when it is used for the purposes which are either illegal or non-ethical, then it is its unethical use.",Ethical Realist,"teaching students with deepfake, as a phsyicologist , etc. ",Educational/Societal
P1_199,"No, restricts innovation",Conditional/Skeptic,"Education: In case a teacher falls ill, we can have pre-recorded content but include a deepfake of the teacher explaining it, so long as everyone involved knows it is a deepfake.",Highly Restrictive,Yes,Innovation Optimist,Same as the answer two answers above,Educational/Societal
P1_200,"Yes, since use of deepfakes can lead to creation of misleading videos, seemingly created by public figure, which can be harmful.",Strict Regulatory Advocate,For entertainment purposes deepfakes can be ethically used. Ex. using deepfakes on stuntmen and replacing actors' faces.,Broadly Permissive,"If the creation sparks debate or is offensive to somebody, it can be deemed as unethical.",Ethical Realist,Can be useful in entertainment or education.,Commercial/Entertainment
P1_201,"Yes. It can be used for unfair uses such as defaming a person, etc.",Strict Regulatory Advocate,In movie dubbing to cover minor errors in voice,Broadly Permissive,"Yes, we can use deepfake for that. We must not use such figures for abusive or offensive content",Ethical Realist,In movie dubbing to cover minor errors in voice,Commercial/Entertainment
P1_202,Yes ,Strict Regulatory Advocate,Education,Broadly Permissive,Yes,Innovation Optimist,Education,Educational/Societal
P1_203,"Yes,Helps to differentiate between fake and real increasing efficiency of law",Strict Regulatory Advocate,"for maintaining law, for mental peace",Invalid/Unclear,"Yes, when it changes the events of the past or manipulates for own good",Ethical Realist,"entertainment,education,politics,creativity",Commercial/Entertainment
P1_204,"Yes, privacy protection ",Strict Regulatory Advocate,For entertainment ,Broadly Permissive,"Yes,it is okay untill it gets to common",Ethical Realist,I guess for educational perpose,Educational/Societal
P1_205,"yes, it should be regulated because they can mislead people",Strict Regulatory Advocate,entrtainment,Broadly Permissive,yes. should not mislead people,Ethical Realist,better understanding knowledge,Educational/Societal
P1_206,yes as it can cause harm to anyone's reputation by creating fake images or audio as well as might be used to create disputes,Strict Regulatory Advocate,example being to teach students how history happened by stimulating videos which gives real life experience,Broadly Permissive,AS I aldready answered the above question in previous question I would like to repeat it :example being to teach students how history happened by stimulating videos which gives real life experience,Innovation Optimist,stimulating real life teaching to students,Educational/Societal
P1_207,"Yes, because it can cause many problems.",Strict Regulatory Advocate,for promoting harmony,Broadly Permissive,maybe,Invalid/Unclear,I don't know,Invalid/Unclear
P1_208,"No,someone might do scam through it",Strict Regulatory Advocate,Entertainment ,Broadly Permissive,Yes,Innovation Optimist,We can use to make movie based on historical figures ,Commercial/Entertainment
P1_209,"it should be since not doing so can lead to fake persons, and no accountability for actions under the fake person",Strict Regulatory Advocate,to bring more actors in entertainment without increasing price,Broadly Permissive,the line is that people should know that the character/content is deepfake,Ethical Realist,i dont know,Invalid/Unclear
P1_210,"Yes, because your identity is getting shared",Strict Regulatory Advocate,"Yes,for saving someone from mental illness",Broadly Permissive,No,Ethical Realist,"For entertainment,like pranking friends",Commercial/Entertainment
P1_211,"no, cause its bad",Invalid/Unclear,"    Film and TV: Recreating actors for sequels or historical characters (e.g., de-aged characters or posthumous performances) with proper rights and consent.

    Voiceovers and dubbing: Enhancing multilingual accessibility or restoring damaged audio using AI-generated voices.
",Highly Restrictive,yes,Innovation Optimist,"Advantage: Reviving characters or actors without reshoots
Example: In Star Wars: Rogue One, deepfake-like technology was used to recreate the likeness of Peter Cushing as Grand Moff Tarkin, decades after his death. This allowed continuity in storytelling without casting a lookalike.
",Commercial/Entertainment
P1_212,"Yes, deepfake technology must be regulated by law because despite having many upsides, it can be misused in many ways.",Strict Regulatory Advocate,"One example of a situation where deepfakes can be rightfully used is making a historical documentary to teach students about history using realistic ""clips from the past"".",Broadly Permissive,Deepfakes can be used in film making,Innovation Optimist,"Deepfakes could be advantageous in simulating ""un-recorded moments"" for education",Educational/Societal
P1_213,"Yes definitely, every deepfake image should be embedded with a tag that is immutable and can be easily accessed by the user that indicates that the data is a deepfake. watermarks are not enough. Reason is, they can be misleading and many malpractices can be carried out using them if the user is not infromed about the reality of the content.",Strict Regulatory Advocate,deepfakes can be used in vfx and movies but i see very less aplications of deepfakes beyond this.,Highly Restrictive,"Yes deepfakes can be used to make hisotrical events vibrant and vivid but to draw a line between ethical and unethical use, the user must always be informed about the content he or she is consuming. They should be well aware of wether the content they are consuming is a deepfake or not.",Ethical Realist,Deepfakes can help to imagine things of which we have very less record which can help in the entertainment industry and for education.,Commercial/Entertainment
P1_214,"yes, They should be regulated because it can invade the privacy of one person,mislead others and be used for wrong things",Strict Regulatory Advocate,They can be used in the Entertainment industry for de aging contingent that they have the permission of the Actor/actress,Highly Restrictive,"Yes, but as long as it is used for recreating things and not creating something which never was  ",Ethical Realist,"can be used for visual learning, can cut back movie production cost and time instead of paying for the actor.",Educational/Societal
P1_215,"Yes, I do believe that deepfake technology should be regulated by law, as unregulated use of the technology can lead to many legal and impersonation and various other issues. Apart from that, many of the current security and authorization technologies use technology which can be tampered due to deepfake technologies",Strict Regulatory Advocate,"Deepfake technologies can be ethically used in entertainment, education.",Broadly Permissive,"Yes, I believe deepfake technology can be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or to enhance storytelling in films.
Usage of deepfake technology becomes unethical when it leads to impersonation in order to breach security or personal lives of people.",Ethical Realist,"Education can be a sector where deepfakes can be used to a huge advantage, as it allows to make the subject interesting by introducing characters seen in entertainment, etc. with consent.",Educational/Societal
P1_216,"Yes, As it can cause as it can be used to spread misinformation very easily ",Strict Regulatory Advocate,It can be used to create new original story in entertainment very easily.,Broadly Permissive,Yes it can be. Using it to create your own work is ethical,Innovation Optimist,It reduces entry skill : in art,Commercial/Entertainment
P1_217,"Yes , because it can lead to ruining someone's reputation.",Strict Regulatory Advocate,Deepfake is manier times used in movies to do some stunts which the actor can't perform,Broadly Permissive,If the figures are used appropriately without giving out any misleading information it can be used for educational purposes.,Ethical Realist,You can generate beautiful pictures without even visiting that place.,Commercial/Entertainment
P1_218,Yes. Deepfake technology might cause many scams and might be misused to perform unethical crimes,Strict Regulatory Advocate,"Yes. This can be utilised in reading events, announcers of any kind etc.",Broadly Permissive,"Yes, it can be a tool for creativity and innovation. We can draw the line between ethical and unethical use when the technology starts harming peoples lives and livelihoods.",Ethical Realist,Live announcers can be replaced maybe.,Commercial/Entertainment
P1_219,"Yes, it allows for bad actors to implicate innocents  fairly easily.",Strict Regulatory Advocate,CGI for movies (especially remakes given prior consent of actors),Broadly Permissive,"Yes, when the person whose voice is used gives explicit consent. It should be included with a disclaimer whenever used.",Ethical Realist,To recreate scenes where previous actors are unable to perform. Example is the scene in Mandalorian.,Commercial/Entertainment
P1_220,"yes, it should be regulated. There is no consent of the involved members, reduces quality of the work etc",Strict Regulatory Advocate,"for protecting the nation like army ,  in education to censor etc",Broadly Permissive,yes. it can be used for historical figures unless it offends some one. it should not be used as a fake of someone .,Ethical Realist,"educational videos in school,etc",Educational/Societal
P1_221,"yes, it is misleading",Strict Regulatory Advocate,entertainment and education,Broadly Permissive,"yes, unless it harms the dignity and living of individual it is not really unethical",Ethical Realist,"to simulate procedures in medical field, for creating movies",Educational/Societal
P1_222,"Yes, because bad guys can use them to blackmail someone or can do higher crimes",Strict Regulatory Advocate,"for entertainment , we can create the the scene which will never be done in real life.",Broadly Permissive,"yes , deepfake technology cam be used for creativity and innovation to bring historical figure to life. but it should be under some limits .",Ethical Realist,to make a historical singer sing a new song,Commercial/Entertainment
P1_223,Yes it should be regulated strictly by the law as it causes much harm to famous personalities and even common individuals in a very very disrespecting manner and harms their reputation greatly if used for the wrong purposes.,Strict Regulatory Advocate,While communicating with people not familiar with the language you speak.,Broadly Permissive,Yes surely it can be used but only to the extent that the core personality of the figure is not modified greatly.,Ethical Realist,Education.,Educational/Societal
P1_224,yes to prevent it's misuse,Strict Regulatory Advocate,"entertainment, education, politics etcc.",Broadly Permissive,yes. when people spread false information using the face of other famous people. ,Ethical Realist,in entertainment purposes i guess like in movies and other shows as the money spent is a lott but if we start using deepfakes it can reduce the expenditure cost and result in profits ,Commercial/Entertainment
P1_225,NO because too many wrong uses,Strict Regulatory Advocate,"reproducing lower quality images,videos or audios with consent to a higher quality",Broadly Permissive,"yes deepfake technology can be used in that context, the moment it hurts someone,like reproducing someone's artwork without consent,is where i draw the line",Ethical Realist,Using it to tell children's story.For example showing them a video where einstein teaches basic counting.Fun as well as informative,Educational/Societal
P1_226,"YES , DEEP FAKE HAS TO BE REGULATED AS THIS CAN BE USED FOR MISINFORMATION , PROPAGANDA . IT CAN EXTEND TO DEFAMATION AND COPYING OF ARTISTIC WORK AS IN GHIBLI TREND",Strict Regulatory Advocate,DEEP FAKES SHOULD BE USED TO MAKE STORIES THAT PROMOTE HARMONY AND SEND MESSAGES IN CRITICAL SITUATIONS LIKE STORM AND CALAMITIES,Broadly Permissive,YES THIS CAN BE USED FOR PEOPLE WHERE HISTORICAL FIGURES  POV MAY BE USED  BUT IT IS UNETHICAL WITHOUT CONSENT . ALIVE PEOPLE SHOULD NOT UNDERGO THE HARRASMENT OF DEEP FAKE,Ethical Realist,"CAN BE USED TO SPREAD MESSAGES IN CALAMITIES , TO SPREAD NATIONAL NEWS WITH CONSENT",Educational/Societal
P1_227,Yes because it is useful for us so my answer is yes deepfake should be regulated ,Strict Regulatory Advocate,.....,Invalid/Unclear,.....,Invalid/Unclear,.....,Invalid/Unclear
P1_228,Yes ,Strict Regulatory Advocate,All fields,Broadly Permissive,Yes,Innovation Optimist,Using deep fake for the welfare of humanity,Educational/Societal
P1_229,"Yes, it can be  used to identity scams and should be regulated",Strict Regulatory Advocate,"Entertainment, Video Editing ",Broadly Permissive,"Yes as long as it doesen,t harm anybody",Ethical Realist,Video Editing,Commercial/Entertainment
P1_230,"No. It is a highly dangerous tool to be used in today's society, and it can lead to global chaos.",Strict Regulatory Advocate,yes,Broadly Permissive,yes,Innovation Optimist,"Advantages are mainly that few videos which are impossible to depict can be depicted easily.
Example : A movie with main leads as Ranbir Kapoor and Katrina Kaif",Commercial/Entertainment
P1_231,Yes it should be ,Strict Regulatory Advocate,Entertainment,Broadly Permissive,Yes for historial purposes,Innovation Optimist,For entertainment it is good like PM singing Saiyaara,Commercial/Entertainment
P1_232,"yes, because helps us from detecting scams",Strict Regulatory Advocate,it should not be used,Highly Restrictive,yes it can be a tool for creativity,Innovation Optimist,to innovate something ,Educational/Societal
P1_233,yes cause it can be misused,Strict Regulatory Advocate,it can be used like to explain history make movies etc,Broadly Permissive,yes it can be used for better understanding but the line where we should draw is that we must first get the consent of the person ,Ethical Realist,can be used to make history related movies for better understanding,Educational/Societal
P1_234,yes it should be regulated because it disturbs the society by spreading false information,Strict Regulatory Advocate,for bringing historical figures to life for educational purposes,Broadly Permissive,it should not be used for tampering the available information,Ethical Realist,we can use them for educational purposes,Educational/Societal
P1_235,"No, as it very much harms the user to which the deepfake is made. It can seriously damage the dignity of it and also will increase scams",Strict Regulatory Advocate,"It can be used to edit a picture, create a funny meme, storytelling to kids, etc",Broadly Permissive,"Yes, The line will be drawn when deepfake is used for harming others in any way",Ethical Realist,"Entertainment, storytelling, editing, etc",Commercial/Entertainment
P1_236,Yes,Strict Regulatory Advocate,In education ,Broadly Permissive,No,Ethical Realist,For new ideas,Educational/Societal
P1_237,It should regulated because there is a scope of a lot of illegal activities  that can happen without the consent of the actual person.,Strict Regulatory Advocate,"In the movie industry, for filming dangerous stunt scenes where a stuntman does the scene and the face of the actor could be deepfaked on the stuntman.",Broadly Permissive,Yes but only historical figures in an ethical manner.,Ethical Realist,"In a cosmetic clinic, before doing a plastic surgery the patient can check what they would look like after the surgery.",Commercial/Entertainment
P1_238,Yes I think deepfake technology should be regulated by law as it is slowly becoming more tricky to differentiate between real and deepfake data,Strict Regulatory Advocate,"In education, like if we need to show a simulation but there is no real life data which is present we can use generated data",Broadly Permissive,"Yes, deepfake can be used in an ethical way as long as the person who uses this technology is ethical. When it comes to education or entertainment, using such technology is fine, but if it is used to spread false news or scamming, then it becomes dangerous",Ethical Realist,"Simulating a rocket landing on the moon or mars, using real physics. This can actually give valuable insights to people who are working to make it reality",Educational/Societal
P1_239,Yes it should be highly regulated by law and there should exist authorities which monitor misuse of this technology since it can be used in wrong and unintended ways and create problems for innocent people.,Strict Regulatory Advocate,The technology can be used for entertainment. It should be avoided for sensitive situations such as politics. Also any person being involved in the technology should offer his/her consent.,Highly Restrictive,"Yes it can be used to for better education. However the line between ethical and unethical use is very thin and it will be dynamic. There might be situation considered ethical today but unethical in the future. Also with the use of technologies, new unethical uses can be created so the line will keep changing.",Ethical Realist,"It can have several advantages in education. It can be used for better visualization, understanding and unlocking teaching methods not possible with blackboard and chalk.",Educational/Societal
P1_240,"NO, its indirectly forcing a person to say stuff he which he doesn't want to ",Strict Regulatory Advocate,It might be helpful in educational field . ,Broadly Permissive,"Yes , the content should be limited to education purpose and shouldn't enter into the field of adult stuff or using them to abuse other nations ethics ",Ethical Realist,Using it to create a picture of Shivaji maharaj and telling the people or students his historical tales as an inspirational story ,Educational/Societal
P1_241,"it should be. It can be used to impersonate famous people, or even close relations. Specially people who are not much known to the technology world.",Strict Regulatory Advocate,politics,Broadly Permissive,Definitely. It can be used to teach and let the upcoming generation know about historical figures and personalities in a fun way.,Innovation Optimist,"Deepfakes can be used for use of imagination to create fictional ideas of people, more in the entertainment sense.",Commercial/Entertainment
P1_242,it should be regulated since its getting too good ,Strict Regulatory Advocate,it should not be used ,Highly Restrictive,this is a good example for this case it can should be considered ethical ,Innovation Optimist,to improve education,Educational/Societal
P1_243,Yes it should be.It is very easy to missuse this technology for illegal acts.,Strict Regulatory Advocate,Educational purposes.,Broadly Permissive,The line between ethical and unethical is very fine so it should be heavily regulated,Ethical Realist,education.,Educational/Societal
P1_244,yes. because deepfake technology may deceive people,Strict Regulatory Advocate,entertainment,Broadly Permissive,yes,Innovation Optimist,take photos,Commercial/Entertainment
P1_245,Yes it should be regulated by the law as it could effect security and privacy of individuals,Strict Regulatory Advocate,"Deepfake technology can be used ethically when applied with transparency, consent, and for positive purposes such as education, entertainment, accessibility, and cultural preservation. For example, it can recreate historical figures for classrooms, de-age actors in films, or provide synthetic voices for people with disabilities, as long as viewers are informed that it is AI-generated.",Highly Restrictive,"es, deepfake technology can absolutely be a tool for creativity and innovation—for instance, bringing historical figures to life in classrooms to make learning more engaging.",Innovation Optimist,"Deepfakes can offer clear advantages when applied in the right context. For example:
Education: Teachers could use deepfakes to recreate historical figures like Einstein or Rani Lakshmi Bai delivering speeches, making lessons more engaging and memorable for students.",Educational/Societal
P1_246,"Yes,I do think that it should be regulated because it crosses ethical boundries.",Strict Regulatory Advocate,it can be used in the education industry ethically.,Broadly Permissive,yes it can bring in new ideas and inspiration when it gets too personal we have to limit it,Ethical Realist,deepfakes can be used to promote harmony among nations if utilized in a proper way,Educational/Societal
P1_247,"Yes, The use of deepfake should be regulated because it can have severe implications if used wrongly. Someone can create a deepfake of someone doing something illegal or create fake evidences for a law suit and with advanced technology it becomes increasingly difficult to differentiate hence it is better to regulate.",Strict Regulatory Advocate,"It can be also used ethically to create educational content, a short film with some social message.",Broadly Permissive,"Yes ! Deepfake will be very useful in bringing historical figures to life making a heavy subject lite, interactive and interesting. The only line between ethical and unethical use is the intention of the use of deepfake. If it is to harm someone then definitely it is unethical.",Ethical Realist,"DeepFake can be used extensively in educational purposes. Especially subjects like history.
Also it can be used to picturize hard social concepts to make them understandable to rural and less informed people.",Educational/Societal
P1_248,"Yes , or it would be an disaster differentiating real and unreal for some fields ",Strict Regulatory Advocate,"Education , Therapy",Broadly Permissive,"If each historical figure is given only an certain role such as if you dont turn the character like from literal good to bad or bad to good , I think that’s fine",Innovation Optimist,Like studying from someone who you idolise ,Educational/Societal
P1_249,"yeah it should be regulated. these days it is very hard to ditinguish what is real and not. we the youth understand that this may be a deepfake and not believe it but some in part of the world ,someone's mom would think that this is all real and misguide other elder people like her .if this keeps growing ,we wont be able to differentiate what is real and what not 
many court cases are based on these videos which can be misused in many ways",Strict Regulatory Advocate,it shoulb be specifically mentioned that it is a deepfake and everyone should be made aware that this is deepfake and what it means then only we can use it in any form,Highly Restrictive,i think it is completely unethical. it might be funny in ways,Ethical Realist,"like i mentioned court cases and if not court cases ,then in a society justice needs to served and if someone leaks some deep fake video of other doing wrong and can accuse him of bad doing and his reputation may be ruined .once it is ruined no body cares if it was deepfake or real",Educational/Societal
P1_250,"Yes, I do believe that deepfake technology should be regulated as it capable of reaching a very large audience in a very short amount of time if used with malicious intents. People in the past have advocated proactively for the same because they have been either harmed/tried to be copied using deepfake technology.",Strict Regulatory Advocate,Deepfake is especially useful in the education sector as it can convert monotonic and boring books and lectures into AI based learning models with interactive classes. Entertainment industry would see a drastic change as actors would be replaced by animators who use deepfake technology to recreate the same scenes in a way cheaper and faster manner.,Broadly Permissive,"Yes it can very well be used for ethical purposes as mentioned above, but still need regulations as it's a thin line between using it to promote unity and radicalize a group of people against each other. Even unintentional use might lead to bad outcomes.",Ethical Realist,"Deepfakes can be used in the education sector, entertainment industry, healthcare sector, security as it may enable automate these sectors very efficiently",Educational/Societal
P1_251,"Yes, as criminals may misuse it for blackmailing and impersonating.",Strict Regulatory Advocate,none,Highly Restrictive,"Yes, I draw the line where the technology is being used to threaten, bully or impersonate someone",Ethical Realist,As mentioned above recreate historical figures for educational use,Educational/Societal
P1_252,"Yes, it definitely should be. Considering the maturity level of today's generation, it is highly likely that the technology is going to be misused.",Strict Regulatory Advocate,"By giving a genuine disclaimer and also, not using it multiple times for the same person( not targeting someone like that), I think, in such situations, it is ethical.",Highly Restrictive,"Yes it definitely is a great tool for creativity and innovation but that aspect of the technology is rarely going to be used. Mostly, I believe, people are gonna use it for entertainment only. But if someone is actually using in a good way, like not harming someone's image in society, and rather producing some creative and fun articles, it's good in that way.",Innovation Optimist,For entertainment and using your talent in creativity to create harmless contents.,Commercial/Entertainment
P1_253,yes since there can be breach of privacy and question to safety and welfare of people.,Strict Regulatory Advocate,when we need a substitute in absence of the actual person/facility.,Broadly Permissive,yes until it does not manipulate the users w.r.t historical facts.,Ethical Realist,in advertisements : we dont want to interupt the real person for short period of screentime if he is busy etc.,Commercial/Entertainment
P1_254,"Yes, the use of deepfake technology should be regulated by law as it can create miss-trust or spread miss-information among masses. ",Strict Regulatory Advocate,For using it to make personalised advertisements,Broadly Permissive,"Yes deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in film. That it doesn't offend a community or spread miss-information.",Ethical Realist,To create content.. ,Commercial/Entertainment
P1_255,"It's pretty complicated. On one hand, deepfakes can be super sketchy, especially when people use them to mess with elections or make fake, messed-up videos of people without their permission. That's for sure a reason to have laws.
But then, what about art and comedy? Like, making funny videos or something for a movie. If you regulate it too much, it could stop people from being creative. Plus, it's hard to make a law that's strict enough for the bad stuff but not so strict that it takes away free speech. It's a whole thing.",Conditional/Skeptic,"I guess if everyone knows it's a deepfake, like in movies to make actors look younger or for cool special effects. Or even for education, like to make a historical figure give a speech to make a history class less boring. So yeah, for sure, if you tell people beforehand and it's for something good, not to trick anyone.",Highly Restrictive,"Yes, for sure, it can be a tool for cool stuff. Like, bringing a historical person to life for a documentary or de-aging an actor in a movie, that's pretty awesome. The line is really about consent and intent. If it's done with permission and for something good, like for entertainment or to make education more engaging, then it's probably okay. But if you use it to trick someone, spread fake news, or mess with people without their permission, that's where it gets super sketchy and is definitely not cool.",Ethical Realist,"Entertainment and filmmaking, education, content translation, medical and scientific research, etc",Commercial/Entertainment
P1_256,"No, because unlawful people can then practice identity theft and infiltrate privacy without consent.",Strict Regulatory Advocate,"I can be done in rare occasions, for example while a person reads out their own will after their death etc.",Highly Restrictive,"Yes it can be used, but keeping in mind religious and historical sentiments.",Ethical Realist,"It can be used ""ethically"" against con artists, at adverse conditions where intuition plays a larger role than real evidence.",Educational/Societal
P1_257,"Yes, it should. Unregulated deepfake technology could lead to misuse and allow people to defame or impersonate another person.",Strict Regulatory Advocate,"Yes, it can be ethically used too. It could be used for entertainment. As long as the user has given their permission, it is ethical.",Highly Restrictive,Yes. The line is crossed when a deepfake shows a figure with views/opinions/morals completely different to what they had promoted.,Ethical Realist,It could be used to create audiobooks with perfect pronunciation,Commercial/Entertainment
P1_258,yes because it becomes dangerous if not contolled,Strict Regulatory Advocate,In any secret operations carried by the government,Broadly Permissive,yes it is definitely useful,Innovation Optimist,using deepfake can be used in raw related operations of a government,Educational/Societal
P1_259,"Yes, I think it should be regulated by law. A lot of innocent people get scammed by the use of this technology and lose a lot of money in the process.",Strict Regulatory Advocate,For entertainment and educational purposes like bringing historical figures to life. For marketing purposes when the customers are aware.,Broadly Permissive,It is ethical only if everyone who sees/hears it is made aware that it is fake.,Ethical Realist,Educational purposes. Kids can learn history better by looking at deepfakes of historical figures.,Educational/Societal
P1_260,"Yes ,it should be regulated by law as it can be used to scam many innocent people.",Strict Regulatory Advocate,Deepfake can be used in film making or audio books.,Broadly Permissive,It can be used in film making and other things but it should not be used to scam people.,Ethical Realist,Some advantages can be that it can be used in educational purposes as to make some figures from textbook to life.,Educational/Societal
P1_261,"Yes it should be regulated. Otherwise there is a high chance of no. of scams increasing, deception also will increase.",Strict Regulatory Advocate,"In some movie franchises like Alien, Star-Wars , actors who passed away in real life were brought back into the movies using deepfake technology. I think that the use of deep-fake technology can help in cases like that when the movies have to go ahead but at the same time paying money to the actors' family for using that actors deepfake.",Broadly Permissive,Yeah that would increase the interest of students in education. But it must be considered unethical if used for spreading of misinformation or using them inappropriately.,Ethical Realist,Can be used for educational purposes for bringing back the historical figures from dead. Can also be used in video games to give tribute to a very great player of that game or a developer. And as mentioned earlier it can also be used in movies.,Educational/Societal
P1_262,"Yes ,every technology is double edged and can be both helpful as well as dangerous so some regulations are required",Conditional/Skeptic,In entertainment and historical aspects,Broadly Permissive,"yes, as long as technology dosent hurt anyone's sentiments, it can be used ",Ethical Realist,To study history and various historical figures or reimagining a scene like some crime scene or something,Educational/Societal
P1_263,Yes this can lead to mass spread of misinformation which is already a big issue in our society ,Strict Regulatory Advocate,Can be used for content creation or for making photos of yourself in imaginary places,Broadly Permissive,Yes it can be used for doing this but it brings almost no real benefit in educational purposes. The potential risks it poses are far greater than the benefit which it can bring about ,Ethical Realist,Again in content creation it can be used to make a photo of a person in thumbnails of youtube videos.,Commercial/Entertainment
